,Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
150,1998-10-16 00:00:00,ARTEMIS ALPHA TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,106.49
151,2022-02-07 00:00:00,ARTEMIS RESOURCES LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,21.17
152,2018-07-13 00:00:00,ASA INTERNATIONAL GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,85.25
153,2016-02-09 00:00:00,ASCENTIAL PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,1285.34
154,2004-11-10 00:00:00,ASCENT RESOURCES PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,4.74
155,2007-04-05 00:00:00,ASEANA PROPERTIES LIMITED,Real Estate,Real Estate ,Jersey,Europe,MAIN MARKET ,No,-
156,2006-10-17 00:00:00,ASHMORE GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1538.09
157,2018-07-06 00:00:00,ASHOKA INDIA EQUITY INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,201.15
158,1990-10-08 00:00:00,ASHTEAD GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,20256.81
159,2021-11-23 00:00:00,ASHTEAD TECHNOLOGY HOLDINGS PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,173.49
160,1987-09-07 00:00:00,ASIA DRAGON TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,526.22
161,2006-12-13 00:00:00,ASIAMET RESOURCES LIMITED,Basic Materials,Basic Resources,Bermuda,North America,AIM ,Yes,22.83
162,2017-08-22 00:00:00,ASIA STRATEGIC HOLDINGS LIMITED,Consumer Discretionary,Consumer Products and Services,Singapore,Asia,MAIN MARKET ,Yes,15.63
163,2003-04-02 00:00:00,ASIMILAR GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,9.47
164,2001-10-03 00:00:00,ASOS PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,1040.38
165,2007-03-30 00:00:00,ASSETCO PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,111.89
166,1937-11-05 00:00:00,ASSOCIATED BRITISH ENGINEERING PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,0.31
167,1994-08-01 00:00:00,ASSOCIATED BRITISH FOODS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,13236.79
168,2015-01-28 00:00:00,ASSURA PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,2032.97
169,2018-10-03 00:00:00,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET ,No,557.14
170,1993-06-01 00:00:00,ASTRAZENECA PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,168025.74
171,2005-05-09 00:00:00,ATALAYA MINING PLC,Basic Materials,Basic Resources,Cyprus,Europe,AIM ,Yes,391.6
172,2008-09-24 00:00:00,ATHELNEY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,4.53
