symbol,name
EAT-LN,European Assets Trust Plc
EBQ-LN,Ebiquity plc
ECEL-LN,Eurocell Plc
ECHO-LN,Echo Energy PLC
ECK-LN,Eckoh Plc
ECM-LN,Electrocomponents plc
ECO-LN,Eco (Atlantic) Oil & Gas Ltd
ECR-LN,ECR Minerals plc
ECSC-LN,ECSC Group Plc
EDEN-LN,Eden Research
EDGH-LN,Edge Performance Vct - Class H
EDGI-LN,Edge Performance Vct - Class I
EDIN-LN,Edinburgh Investment Trust plc
EDL-LN,Edenville Energy Plc
EDR-LN,Egdon Resources Plc.
EDV-LN,Endeavour Mining Plc
EEE-LN,Empire Metals Limited
EGL-LN,Ecofin Global Utilities and Infrastructure Trust plc
EGST-LN,Liontrust ESG Trust Plc
EGY-LN,"VAALCO Energy, Inc."
EJFI-LN,EJF Investments Ltd
EKF-LN,EKF Diagnostics Holdings plc
ELCO-LN,Eleco Plc
ELIX-LN,Elixirr International Plc
ELM-LN,Elementis
ELTA-LN,Electra Private Equity
EMAN-LN,Everyman Media Group Plc
EME-LN,Empyrean Energy
EMG-LN,Man Group Plc
EMH-LN,European Metals Holdings Limited
EMIS-LN,Emis Group Plc
EML-LN,Emmerson Plc
EMR-LN,Empresaria Group
ENET-LN,Ethernity Networks Ltd
ENOG-LN,Energean Plc
ENQ-LN,EnQuest Plc
ENT-LN,Entain plc
ENW-LN,Enwell Energy Plc
EOG-LN,Europa Oil & Gas (Hldgs)
EPG-LN,EP Global Opportunities Trust
EPIC-LN,Ediston Property Investment Company plc
EPWN-LN,Epwin Group Plc
EQLS-LN,Equals Group Plc
EQN-LN,Equiniti Group plc
EQT-LN,Eqtec Plc
ERGO-LN,Ergomed Plc
ERM-LN,Euromoney Institutional Investors
ESC-LN,Escape Hunt Plc
ESKN-LN,Esken Limited
ESL-LN,Eddie Stobart Logistics Plc
ESNT-LN,Essentra Plc
ESO-LN,EPE Special Opportunities Limited
ESP-LN,Empiric Student Property Plc
EST-LN,East Star Resources Plc
ESYS-LN,Essensys Plc
ETX-LN,E-Therapeutics Plc
EUA-LN,Eurasia Mining
EUZ-LN,Europa Metals Ltd
EVE-LN,Eve Sleep Plc
EVG-LN,Evgen Pharma Plc
EVR-LN,Evraz Plc
EWI-LN,Edinburgh Worldwide Investment Tst
EXPN-LN,Experian Plc
EYE-LN,Eagle Eye Solutions Group Plc
EZJ-LN,Easyjet plc
FA.-LN,FireAngel Safety Technology Group Plc
FAB-LN,Fusion Antibodies Plc
FAN-LN,Volution Group Plc
FAR-LN,Ferro-Alloy Resources Limited
FARN-LN,Faron Pharmaceuticals Oy
FAS-LN,Fidelity Asian Values plc
FCAP-LN,finnCap Group Plc
FCBH-LN,F&C Barrow Hanley US Trust Plc
FCCN-LN,French Connection Group plc
FCH-LN,Funding Circle Holdings Plc
FCIT-LN,F&C Investment Trust Plc
FCRM-LN,Fulcrum Utility Services Limited
FCSS-LN,Fidelity China Special Situations PLC - Reg S
FDBK-LN,Feedback plc
FDEV-LN,Frontier Developments Plc
FDM-LN,FDM Group (Holdings) Plc
FDP-LN,First Derivatives plc
FEET-LN,Fundsmith Emerging Equities Trust plc
FEN-LN,Frenkel Topping Group
FERG-LN,Ferguson Plc.
FEV-LN,Fidelity European Trust plc
FEVR-LN,Fevertree Drinks Plc
FFWD-LN,Fast Forward Innovations Limited
FGP-LN,First Group
FGT-LN,Finsbury Growth & Income Trust Plc
FHP-LN,Fandango Holdings plc
FIF-LN,Finsbury Food Group Plc
FIH-LN,FIH Group Plc
FIPP-LN,Frontier IP Group Plc
FJV-LN,Fidelity Japan Trust Plc
FKE-LN,Fiske plc
FLK-LN,Fletcher King plc
FLO-LN,Flowtech Fluidpower Plc
FLTA-LN,Filta Group Holdings Plc
FLTR-LN,Flutter Entertainment Plc
FLX-LN,Falanx Group Limited
FNTL-LN,Fintel plc
FNX-LN,Fonix Mobile Plc
FOG-LN,Falcon Oil & Gas Ltd
FORT-LN,Forterra Plc
FOUR-LN,4imprint Group plc
FOX-LN,Fox Marble Holdings Plc
FOXT-LN,Foxtons Group Plc
FPO-LN,First Property Group plc
FPP-LN,Fragrant Prosperity Holdings Limited
FRAN-LN,Franchise Brands PLC
FRAS-LN,Frasers Group Plc
FRES-LN,Fresnillo Plc
FRP-LN,FRP Advisory Group Plc
FSFL-LN,Foresight Solar Fund Limited
FSG-LN,Foresight Group Holdings Limited
